cli,ili,wnohh_cmnty_cli,wbelief_masking_effective,wbelief_distancing_effective,wcovid_vaccinated_friends,wlarge_event_indoors,wothers_masked_public,wothers_distanced_public,wshop_indoors,wrestaurant_indoors,wworried_catch_covid,hh_cmnty_cli,nohh_cmnty_cli,wearing_mask_7d,public_transit,worried_finances,tested_positive
3.9690547,4.130866,37.2243633,69.8478104,70.0352644,64.206961,19.1318748,15.3039018,16.2098267,63.0115303,33.0415786,55.1510544,42.9995241,36.7495251,66.3024066,3.5333502,38.0714471,32.4166936
0.7069093,0.7705023,9.3217139,75.6557327,77.3537311,78.4044207,22.7018867,37.7465596,19.8549681,64.7505374,36.8559581,49.8985516,13.5435822,9.913807,69.3910534,8.7787735,33.0683198,7.5000925
1.8312236,1.8687386,21.6272137,61.9902197,62.8470724,58.1409731,23.4132457,16.5441233,16.2605066,63.7118839,35.1840719,43.932908,27.028092,21.5403329,62.9625854,3.1891266,36.7630064,26.7487011
2.0994025,2.2299685,25.0531785,64.4619606,66.0389249,67.9488189,20.2330125,33.3784969,14.7205108,62.3573148,35.0107025,48.3674672,31.8535963,26.4571913,71.482247,4.8969598,33.5087813,29.3858543
4.7862862,4.9396485,43.2585536,64.1439802,65.180658,56.4668613,20.4135995,10.9345086,15.1738169,57.5160712,31.0840655,49.8887641,50.8893673,44.0741201,61.3398095,2.1845135,39.2714923,39.5135659
1.1586184,1.1830725,12.1450788,78.487769,77.0241969,72.0937696,20.4838208,25.5989121,21.7650692,64.8557271,31.6776987,51.794141,17.0240389,12.856648,64.8617558,13.9296969,40.0462906,7.0486808
1.2257745,1.2623141,11.4854046,67.7517102,69.9123342,66.3092184,29.9144692,10.1375319,14.7276227,66.8335115,41.8449089,41.5908017,16.4875555,11.4306726,43.2222443,8.4392389,37.2140966,7.1994848
1.9584623,1.9341255,20.4767874,69.8914564,70.7639488,65.6234212,27.8024061,8.6956488,16.8172867,68.535263,41.4848319,40.302768,25.4406531,20.3272161,48.4352483,5.2125215,30.4860396,21.4475821
1.4503124,1.4469932,12.1940907,70.2046536,71.1110239,62.1998924,31.3312098,15.6722705,16.020528,67.434197,41.1476224,45.8235489,17.1070932,11.4490126,55.3044673,4.5351866,40.8292207,10.2240035
1.3070414,1.2679294,15.8901465,70.1254456,72.7589955,65.6998054,22.0231866,60.7722982,29.1226486,68.4615655,34.1183626,44.9603679,20.1034442,15.9760137,83.3618203,5.2104661,33.1442231,10.2786275
