,Min,Max,Mean,Std
COVID-19病例指数,0.4596288,7.0576803,1.891488271915747,1.1412202859064147
流感样症状,0.4529342,7.1726694,1.9334389623871617,1.168167653033389
家庭社区病例指数的加权平均值,7.2873267,49.4753452,20.30829823640923,9.487699806663626
口罩有效性信念加权平均值,51.7568264,83.3207336,69.09639470065196,6.489895162207121
社交距离有效性信念加权平均值,52.3722481,82.5270216,70.0286744392678,5.2239347850366045
已接种COVID疫苗朋友数量加权平均值,47.0049154,84.5433939,64.13917479087262,8.158084484583995
室内大型活动可能性加权平均值,11.2290116,37.8592614,24.394597767652957,4.859814158550932
公共场所他人戴口罩加权平均值,1.6733289,68.4026846,22.80301803761284,18.523129395468253
公共场所他人保持社交距离加权平均值,8.9646801,33.7126527,18.68268443671013,4.286317050823027
室内购物可能性加权平均值,48.4968402,73.7287701,65.3819182100301,3.7606294336258044
室内用餐可能性加权平均值,18.5192973,50.538638,35.859607834954865,5.623884549313024
担心感染COVID-19加权平均值,23.4348538,67.4995176,46.109595108174524,7.196239098164835
家庭社区                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       病例指数平均值,10.530873,55.9081779,25.199641660030093,10.407240894016546
没有家庭社区病例指数数量,7.0061728,50.0369904,20.17048090120361,9.671972145423368
过去7天中戴口罩人数,21.9239867,88.4838566,61.220362083400204,14.196858793585253
使用公共交通人数,1.5038476,14.8170065,4.604654748645938,2.1652528917039344
担心财务状况人数,27.9148098,48.0493836,36.71750434623872,3.5302399441284193
测试结果阳性人数,2.4418616,49.1204078,17.444779817101303,9.438732032936676
,,,,
